Feedback_ID,Product_ID,Rating,Review
F001,P010,4,Love the fit and feel!
F002,P003,3,"Good, but could be softer."
F003,P009,5,Excellent quality!
F004,P007,2,Not comfortable.
F005,P006,4,Great design and comfortable!
F006,P004,3,Okay for the price.
F007,P003,1,Poor quality.
F008,P005,5,Best purchase ever!
F009,P003,4,Satisfied with the product.
F010,P008,2,Size is not accurate.
F011,P008,3,Decent product.
F012,P004,4,Soft and comfortable!
F013,P004,1,Not worth the money.
F014,P007,5,Super comfortable!
F015,P007,2,Color faded after wash.
F016,P006,4,Good value for money.
F017,P003,3,Average quality.
F018,P007,5,Highly recommend!
F019,P009,1,Very disappointed.
F020,P009,4,Fits perfectly!
F021,P005,2,Too tight.
F022,P006,5,Love the material!
F023,P008,3,Just okay.
F024,P008,4,Very stylish!
F025,P007,1,Not durable.
F026,P009,5,Great for daily wear!
F027,P005,2,Not what I expected.
F028,P008,4,Comfortable and stylish!
F029,P007,3,Good but not great.
F030,P001,5,Fantastic quality!
F031,P005,1,Would not recommend.
F032,P001,4,Soft and cozy!
F033,P007,2,Too expensive for the quality.
F034,P001,5,Love it!
F035,P006,3,Could be improved.
F036,P003,4,Nice fit!
F037,P006,1,Very uncomfortable.
F038,P009,5,Worth every penny!
F039,P009,2,Not a fan of the design.
F040,P006,4,Great quality and fit!
F041,P006,3,Fair product.
F042,P006,5,So soft and comfortable!
F043,P004,1,Not satisfied.
F044,P001,4,Looks and feels great!
F045,P009,2,Material is not good.
F046,P010,5,Perfect for me!
F047,P010,3,Just average.
F048,P001,4,Would buy again!
F049,P009,1,Do not like it.
F050,P004,5,Amazing product!
F051,P004,2,Too small.
F052,P003,4,Really soft and comfy!
F053,P001,3,It's okay.
F054,P005,5,My favorite purchase!
F055,P005,1,Poorly made.
F056,P004,4,Good overall.
F057,P008,2,Not comfortable at all.
F058,P009,5,Absolutely love it!
F059,P003,3,It's fine.
F060,P005,4,Great fit and quality!
F061,P009,1,Not recommended.
F062,P005,5,Super soft and comfortable!
F063,P010,2,Overpriced.
F064,P009,4,Stylish and comfortable!
F065,P008,3,It's alright.
F066,P006,5,Happy with my purchase!
F067,P010,1,Very poor quality.
F068,P003,4,Comfortable and cute!
F069,P003,2,Design is not good.
F070,P010,5,Excellent product!
F071,P008,3,It's decent.
F072,P008,4,Love how soft it is!
F073,P001,1,Not happy with the purchase.
F074,P009,5,Comfortable and stylish!
F075,P005,2,Not good quality.
F076,P004,4,Satisfied overall.
F077,P008,3,It's just okay.
F078,P002,5,Love this product!
F079,P006,1,Disappointed.
F080,P004,4,Perfect fit!
F081,P008,2,Too large.
F082,P009,5,Incredibly soft and comfortable!
F083,P001,3,It's fine for the price.
F084,P002,4,Love the style!
F085,P007,1,Not worth it.
F086,P002,5,Great for everyday wear!
F087,P002,2,Expected better.
F088,P003,4,Cute and comfortable!
F089,P006,3,"It's good, not great."
F090,P010,5,High quality product!
F091,P001,1,Wouldn't buy again.
F092,P008,4,So comfy!
F093,P003,2,Quality is not great.
F094,P001,5,Absolutely love this!
F095,P008,3,"It's okay, could be better."
F096,P009,4,Fits well!
F097,P007,1,Uncomfortable.
F098,P008,5,Best purchase I've made!
F099,P001,2,Don't like the design.
F100,P007,4,Quality and fit are great!
F101,P003,3,Just average.
F102,P007,4,Very comfortable!
F103,P010,1,Poor quality.
F104,P004,5,"Love it, great purchase!"
F105,P006,2,Disappointed with the material.
F106,P006,5,Amazing fit and quality!
F107,P008,4,Comfortable for workouts.
F108,P004,3,It's okay for the price.
F109,P005,1,Worst purchase ever.
F110,P008,5,Excellent fit and comfort!
F111,P005,4,Very stylish!
F112,P003,2,Poor quality fabric.
F113,P004,5,"Love this, highly recommend!"
F114,P007,3,Not worth the money.
F115,P009,4,Perfect for casual wear.
F116,P008,1,Very uncomfortable.
F117,P007,5,Fantastic product!
F118,P001,2,Didn't like the color.
F119,P003,4,Good value for the price.
F120,P009,3,Just okay.
F121,P010,4,Satisfied with the purchase!
F122,P003,5,In love with this product!
F123,P004,2,"Poorly made, disappointed."
F124,P005,5,Highly satisfied!
F125,P010,3,Could be better.
F126,P003,4,Very comfortable for workouts.
F127,P005,1,Not as described.
F128,P006,5,"Love it, exceeded expectations!"
F129,P005,3,"Not bad, not great."
F130,P010,4,Good quality for the price.
F131,P001,2,Not durable.
F132,P002,5,Fantastic material!
F133,P007,1,"Poor fit, disappointed."
F134,P001,4,Stylish and comfy!
F135,P006,5,Excellent purchase!
F136,P004,2,Expected better.
F137,P004,4,Great design!
F138,P004,3,"Okay, could be improved."
F139,P006,1,Very poor quality.
F140,P006,5,"Love it, perfect!"
F141,P003,4,Good for daily wear.
F142,P005,2,Not worth the price.
F143,P005,5,Superb quality!
F144,P006,3,"It's fine, not great."
F145,P001,4,Nice color and fit!
F146,P009,1,"Poorly made, disappointed."
F147,P002,5,Very satisfied!
F148,P009,4,Good value for money.
F149,P007,2,Not as described.
F150,P002,5,"Highly recommend, great quality!"
F151,P001,3,Decent for the price.
F152,P005,4,Love the material!
F153,P002,1,Not durable.
F154,P002,5,Amazing fit and comfort!
F155,P006,2,Too tight.
F156,P009,4,Great value for the price.
F157,P005,5,Fantastic product!
F158,P009,3,Just average.
F159,P007,4,Very stylish!
F160,P002,1,Very uncomfortable.
F161,P008,5,"Love this, exceeded expectations!"
F162,P009,4,Comfortable for workouts.
F163,P005,2,"Poor fit, disappointed."
F164,P005,5,Excellent purchase!
F165,P001,3,"Not bad, not great."
F166,P002,4,Stylish and comfy!
F167,P001,1,Not worth the price.
F168,P007,5,"Love it, perfect!"
F169,P005,4,Good for daily wear.
F170,P002,2,Not worth the money.
F171,P009,5,Superb quality!
F172,P003,3,"It's fine, not great."
F173,P008,4,Nice color and fit!
F174,P004,1,"Poorly made, disappointed."
F175,P009,5,Very satisfied!
F176,P003,4,Good value for money.
F177,P005,2,Not as described.
F178,P007,5,"Highly recommend, great quality!"
F179,P003,3,Decent for the price.
F180,P002,4,Love the material!
F181,P006,1,Not durable.
F182,P006,5,Amazing fit and comfort!
F183,P004,2,Too tight.
F184,P006,4,Great value for the price.
F185,P008,5,Fantastic product!
F186,P003,3,Just average.
F187,P010,4,Very stylish!
F188,P003,1,Very uncomfortable.
F189,P002,5,"Love this, exceeded expectations!"
F190,P004,4,Comfortable for workouts.
F191,P004,2,"Poor fit, disappointed."
F192,P010,5,Excellent purchase!
F193,P003,3,"Not bad, not great."
F194,P008,4,Stylish and comfy!
F195,P002,1,Not worth the price.
F196,P001,5,"Love it, perfect!"
F197,P009,4,Good for daily wear.
F198,P002,2,Not worth the money.
F199,P005,5,Superb quality!
F200,P001,3,"It's fine, not great."
